codigo,descripcion,nivel
5040,"Venta, mantenimiento y reparación de motocicletas y de sus partes, piezas y accesorios.",4
505,Venta al por menor de combustible para automotores.,3
5050,Venta al por menor de combustible para automotores.,4
51,"Comercio al por mayor y en comisión, excepto el comercio de vehículos automotores y motocicletas.",2
511,Venta al por mayor a cambio de una retribución o por contrata.,3
5110,Venta al por mayor a cambio de una retribución o por contrata.,4
512,"Venta al por mayor de materias primas agropecuarias, animales vivos, alimentos, bebidas y tabaco.",3
5121,Venta al por mayor de materias primas agropecuarias y de animales vivos.,4
5122,"Venta al por mayor de alimentos, bebidas y tabaco.",4
513,Venta al por mayor de enseres domésticos.,3
5131,"Venta al por mayor de productos textiles, prendas de vestir y calzado.",4
5139,Venta al por mayor de otros enseres domésticos.,4
514,"Venta al por mayor de productos intermedios, desperdicios y desechos no agropecuarios.",3
5141,"Venta al por mayor de combustibles sólidos, líquidos y gaseosos y de productos conexos.",4
5142,Venta al por mayor de metales y minerales metalíferos.,4
5143,"Venta al por mayor de materiales de construcción, artículos de ferretería y equipo y materiales de fontanería y calefacción.",4
5149,"Venta al por mayor de otros productos intermedios, desperdicios y desechos.",4
515,"Venta al por mayor de maquinaria, equipo y materiales.",3
5150,"Venta al por mayor de maquinaria, equipo y materiales.",4
519,Venta al por mayor de otros productos.,3
5190,Venta al por mayor de otros productos.,4
52,"Comercio al por menor, excepto el comercio de vehículos automotores y motocicletas; reparación de efectos personales y enseres domésticos.",2
521,Comercio al por menor no especializado en almacenes.,3
7112,Alquiler de equipo de transporte por vía acuática.,4
5211,"Venta al por menor en almacenes no especializados con surtido compuesto principalmente de alimentos, bebidas y tabaco.",4
5219,Venta al por menor de otros productos en almacenes no especializados.,4
522,"Venta al por menor de alimentos, bebidas y tabaco en almacenes especializados.",3
5220,"Venta al por menor de alimentos, bebidas y tabaco en almacenes especializados.",4
523,Comercio al por menor de otros productos nuevos en almacenes especializados.,3
5231,"Venta al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador.",4
5232,"Venta al por menor de productos textiles, prendas de vestir, calzado y artículos de cuero.",4
5233,"Venta al por menor de aparatos, artículos y equipo de uso doméstico.",4
5234,"Venta al por menor de artículos de ferretería, pinturas y productos de vidrio.",4
5239,Venta al por menor de otros productos en almacenes especializados.,4
524,Venta al por menor en almacenes de artículos usados.,3
5240,Venta al por menor en almacenes de artículos usados.,4
525,Comercio al por menor no realizado en almacenes.,3
5251,Venta al por menor de casas de venta por correo.,4
5252,Venta al por menor en puestos de venta y mercados.,4
5259,Otros tipos de venta al por menor no realizada en almacenes.,4
526,Reparación de efectos personales y enseres domésticos.,3
5260,Reparación de efectos personales y enseres domésticos.,4
H,Hoteles y restaurantes.,1
55,Hoteles y restaurantes.,2
551,Hoteles; campamentos y otros tipos de hospedaje temporal.,3
5510,Hoteles; campamentos y otros tipos de hospedaje temporal.,4
552,"Restaurantes, bares y cantinas.",3
5520,"Restaurantes, bares y cantinas.",4
I,"Transporte, almacenamiento y comunicaciones.",1
60,Transporte por vía terrestre; transporte por tuberías.,2
601,Transporte por vía férrea.,3
6010,Transporte por vía férrea.,4
602,Otros tipos de transporte por vía terrestre.,3
6021,Otros tipos de transporte regular de pasajeros por vía terrestre.,4
6022,Otros tipos de transporte no regular de pasajeros por vía terrestre.,4
6023,Transporte de carga por carretera.,4
603,Transporte por tuberías.,3
6030,Transporte por tuberías.,4
61,Transporte por vía acuática.,2
611,Transporte marítimo y de cabotaje.,3
6110,Transporte marítimo y de cabotaje.,4
612,Transporte por vías de navegación interiores.,3
6120,Transporte por vías de navegación interiores.,4
62,Transporte por vía aérea.,2
621,Transporte regular por vía aérea.,3
6210,Transporte regular por vía aérea.,4
622,Transporte no regular por vía aérea.,3
6220,Transporte no regular por vía aérea.,4
63,Actividades de transporte complementarias y auxiliares; actividades de agencias de viajes.,2
630,Actividades de transporte complementarias y auxiliares; actividades de agencias de viajes.,3
6301,Manipulación de la carga.,4
6302,Almacenamiento y depósito.,4
6303,Otras actividades de transporte complementarias.,4
6304,Actividades de agencias de viajes y organizadores de viajes; actividades de asistencia a turistas n.c.p.,4
6309,Actividades de otras agencias de transporte.,4
64,Correo y telecomunicaciones.,2
641,Actividades postales y de correo.,3
6411,Actividades postales nacionales.,4
6412,Actividades de correo distintas de las actividades postales nacionales.,4
642,Telecomunicaciones.,3
6420,Telecomunicaciones.,4
J,Intermediación financiera.,1
65,"Intermediación financiera, excepto la financiación de planes de seguros y de pensiones.",2
651,Intermediación monetaria.,3
6511,Banca central.,4
6519,Otros tipos de intermediación monetaria.,4
659,Otros tipos de intermediación financiera.,3
6591,Arrendamiento financiero.,4
6592,Otros tipos de crédito.,4
6599,Otros tipos de intermediación financiera n.c.p.,4
66,"Financiación de planes de seguros y de pensiones, excepto los planes de seguridad social de afiliación obligatoria.",2
660,"Financiación de planes de seguros y de pensiones, excepto los planes de seguridad social de afiliación obligatoria.",3
6601,Planes de seguros de vida.,4
6602,Planes de pensiones.,4
6603,Planes de seguros generales.,4
67,Actividades auxiliares de la intermediación financiera.,2
671,"Actividades auxiliares de la intermediación financiera, excepto la financiación de planes de seguros y de pensiones.",3
6711,Administración de mercados financieros.,4
6712,Actividades bursátiles.,4
6719,Actividades auxiliares de la intermediación financiera n.c.p.,4
672,Actividades auxiliares de la financiación de planes de seguros y de pensiones.,3
6720,Actividades auxiliares de la financiación de planes de seguros y de pensiones.,4
K,"Actividades inmobiliarias, empresariales y de alquiler.",1
70,Actividades inmobiliarias.,2
701,Actividades inmobiliarias realizadas con bienes propios o arrendados.,3
7010,Actividades inmobiliarias realizadas con bienes propios o arrendados.,4
702,Actividades inmobiliarias realizadas a cambio de una retribución o por contrata.,3
7020,Actividades inmobiliarias realizadas a cambio de una retribución o por contrata.,4
71,Alquiler de maquinaria y equipo sin operarios y de efectos personales y enseres domésticos.,2
711,Alquiler de equipo de transporte.,3
7111,Alquiler de equipo de transporte por vía terrestre.,4
7113,Alquiler de equipo de transporte por vía aérea.,4
712,Alquiler de otros tipos de maquinaria y equipo.,3
7121,Alquiler de maquinaria y equipo agropecuario.,4
7122,Alquiler de maquinaria y equipo de construcción e ingeniería civil.,4
7123,Alquiler de maquinaria y equipo de oficina (incluso computadoras).,4
7129,Alquiler de otros tipos de maquinaria y equipo n.c.p.,4
713,Alquiler de efectos personales y enseres domésticos n.c.p.,3
7130,Alquiler de efectos personales y enseres domésticos n.c.p.,4
72,Informática y actividades conexas.,2
721,Consultores en equipo de informática.,3
7210,Consultores en equipo de informática.,4
722,Consultores en programas de informática y suministro de programas de informática.,3
7220,Consultores en programas de informática y suministro de programas de informática.,4
723,Procesamiento de datos.,3
7230,Procesamiento de datos.,4
724,Actividades relacionadas con bases de datos.,3
7240,Actividades relacionadas con bases de datos.,4
725,"Mantenimiento y reparación de maquinaria de oficina, contabilidad e informática.",3
7250,"Mantenimiento y reparación de maquinaria de oficina, contabilidad e informática.",4
729,Otras actividades de informática.,3
7290,Otras actividades de informática.,4
73,Investigación y desarrollo.,2
731,Investigaciones y desarrollo experimental en el campo de las ciencias naturales y la ingeniería.,3
7310,Investigaciones y desarrollo experimental en el campo de las ciencias naturales y la ingeniería.,4
732,Investigaciones y desarrollo experimental en el campo de las ciencias sociales y las humanidades.,3
7320,Investigaciones y desarrollo experimental en el campo de las ciencias sociales y las humanidades.,4
74,Otras actividades empresariales.,2
741,"Actividades jurídicas y de contabilidad, teneduría de libros y auditoría; asesoramiento en materia de impuestos; estudio de mercados y realización de encuestas de opinión pública; asesoramiento empresarial y en materia de gestión.",3
7411,Actividades jurídicas.,4
7412,"Actividades de contabilidad, teneduría de libros y auditoría; asesoramiento en materia de impuestos.",4
7413,Investigación de mercados y realización de encuestas de opinión pública.,4
7414,Actividades de asesoramiento empresarial y en materia de gestión.,4
742,Actividades de arquitectura e ingeniería y otras actividades técnicas.,3
